epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4444715678691864,215.6154327392578,0.51953125,0.9885169267654419
1,0.5150110125541687,1.0099483728408813,0.529296875,0.9830921292304993
2,0.5445448160171509,0.9623361825942993,0.54296875,0.9513921737670898
3,0.5748108625411987,0.9369166493415833,0.5244140625,1.0621647834777832
4,0.5333170890808105,0.9850393533706665,0.5703125,0.932398796081543
5,0.5884793996810913,0.8826671242713928,0.556640625,0.9352898001670837
6,0.579448401927948,0.8957499265670776,0.6044921875,0.8674448728561401
7,0.6028801798820496,0.8836479187011719,0.3427734375,1.2868053913116455
8,0.5228216052055359,1.032094120979309,0.5966796875,0.8983550071716309
9,0.5760312676429749,0.9283710718154907,0.5341796875,0.9722604751586914
